Image,Cluster 1,Cluster 1,Cluster 1,Cluster 2,Cluster 2,Cluster 2,Cluster 3,Cluster 3,Cluster 3,Cluster 4,Cluster 4,Cluster 4,Cluster 5,Cluster 5,Cluster 5,Cluster 6,Cluster 6,Cluster 6
image_04.jpg,189,161,153,194,204,214,227,200,188,110,104,107,184,191,199,218,184,170
image_05.jpg,169,205,180,248,216,209,177,151,137,233,197,185,190,225,200,139,180,155
image_102.png,221,192,172,142,117,103,237,217,201,185,154,136,204,176,157,234,205,186
image_22.jpg,251,229,206,219,188,165,91,65,48,196,164,142,234,205,180,245,217,193
image_28.jpg,223,201,194,176,149,140,127,104,97,203,177,168,28,19,17,240,229,222
image_31.jpg,215,208,194,153,139,129,242,235,227,91,85,82,194,183,166,18,13,9
image_45.jpg,198,178,160,47,41,34,125,111,99,219,212,200,87,73,62,162,147,133
image_71.jpg,229,229,231,76,53,40,140,113,96,240,240,242,193,163,142,230,203,187
image_82.jpg,250,233,229,208,173,161,246,220,209,139,111,98,62,44,35,237,204,190
image_89.jpg,253,232,206,166,133,121,251,217,191,227,187,173,99,69,59,253,226,199
